country,value,form
United States,19417144000000,country
China,11795297000000,country
Japan,4841221000000,country
Germany,3423287000000,country
United Kingdom,2496757000000,country
India,2454458000000,country
France,2420440000000,country
Brazil,2140940000000,country
Italy,1807425000000,country
Canada,1600265000000,country
Russia,1560706000000,country
Hungary,125297000000,country
Bitcoin,124269826896,crypto
Angola,122365000000,country
Paraguay,28743000000,country
Ethereum,28633107997,crypto
Latvia,27795000000,country
Afghanistan,20570000000,country
Ripple,20326686700,crypto
Cyprus,19648000000,country
Armenia,10741000000,country
Bitcoin Cash,10597568757,crypto
Madagascar,10372000000,country
Burundi,3384000000,country
Litecoin,2971653831,crypto
Timor-Leste,2727000000,country
Liberia,2215000000,country
Dash,2108622877,crypto
Djibouti,2088000000,country
Cabo Verde,1637000000,country
NEM,1562031000,crypto
San Marino,1551000000,country
The Seychelles,1475000000,country
Antigua and Barbuda,1454000000,country
St. Lucia,1428000000,country
Monero,1337410553,crypto
Solomon Islands,1245000000,country
Guinea-Bissau,1166000000,country
Ethereum Classic,1155628055,crypto
Grenada,1089000000,country
IOTA,1053414182,crypto
The Gambia,1041000000,country
